Ibuk ID;Tytuł;Autor;ISBN;Wydawnictwo;Rok wydania;Kategoria;Podkategoria;Link do książki 
36215;Drama w nauczaniu języka polskiego;Eugeniusz Szymik;978-83-7587-852-3;Oficyna Wydawnicza IMPULS;2011;Nauki humanistyczne;Filologia polska;Czytaj
64993;Dramatyczność i dialogowość w kulturze;Redakcja: Anna Krajewska, Danuta Ulicka, Piotr Dobrowolski;978-83-232-2103-6;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki humanistyczne;Filologia polska;Czytaj
45147;Drewniak;Dorota Combrzyńska-Nogala, Redakcja: Monika Czechowska-Wrońska;978-83-7779-132-5;MG;2012;Literatura kobieca;-;Czytaj
2938;Druga pora życia;Anna Strzelec;978-83-61184-33-1;Wydawnictwo e-bookowo;2010;Literatura kobieca;-;Czytaj
40598;Drugie Oko Tadeusza Peipera;Joanna Grądziel-Wójcik;978-83-232-2191-3;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki humanistyczne;Filologia polska;Czytaj
61375;Drzwi do plakatu;Mieczysław Górowski, Agata Hołobut;978-83-242-1008-4;Universitas;2009;Nauki humanistyczne;Kultura i sztuka;Czytaj
62867;Drzwi wewnętrzne - moda i funkcjonalność. Poradnik;Redakcja: Monika Mucha;978-83-64094-07-1;Dom Wydawniczy MEDIUM;2013;Publikacje darmowe;-;Czytaj
37882;Dwunasta warstwa;Olaf Tumski;978-83-63080-51-8;Wydawnictwo e-bookowo;2012;Literatura piękna;Fantastyka;Czytaj
40566;Dydaktyka Podręcznik akademicki;Czesław Kupisiewicz;978-83-7850-057-5;Oficyna Wydawnicza IMPULS;2012;Nauki społeczne;Pedagogika;Czytaj
38434;Dynastia Jagiellonów w Polsce;Urszula Borkowska;978-83-01-16692-2;Wydawnictwo Naukowe PWN;2011;Nauki humanistyczne;Historia;Czytaj
44888;Dynastia Piastów mazowieckich;Janusz Grabowski;978-83-7730-999-5;Avalon;2012;Nauki humanistyczne;Historia;Czytaj
61902;Dyskryminacja pośrednia w prawie Unii Europejskiej. Stan prawny na dzień 5 listopada 2012 roku;Justyna Maliszewska-Nienartowicz;978-83-231-2904-2;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2012;Prawo;Prawo Unii Europejskiej;Czytaj
1402;Dysleksja;W. J. Brejnak;83-200-3296-2;Wydawnictwo Lekarskie PZWL;2005;Medycyna;Poradniki medyczne;Czytaj
41782;Dysleksja i ADHD współwystępujące zaburzenia rozwoju;Małgorzata Lipowska;978-83-7383-561-0;Wydawnictwo Naukowe Scholar;2011;Nauki społeczne;Psychologia;Czytaj
39892;Dzieci chore, niepełnosprawne i z utrudnieniami w rozwoju;Redakcja: Andrzej Stawarski, Beata Cytowska, Barbara Winczura;978-83-7850-027-8;Oficyna Wydawnicza IMPULS;2008;Nauki społeczne;Pedagogika;Czytaj
93962;Dziecięca padaczka objawowa w zakażeniu cytomegalowirusem - aspekty diagnostyczne, terapeutyczne i neurorozwojowe;Dorota Dunin-Wąsowicz;978-83-917484-2-8;Wydawnictwo Instytut Pomnik-Centrum Zdrowia Dziecka;2013;Publikacje darmowe;-;Czytaj
1617;Dzieciństwo i dorastanie z ADHD;Tomasz Hanć;978-83-7587-151-7;Oficyna Wydawnicza IMPULS;2009;Nauki społeczne;Pedagogika;Czytaj
38897;Dziecko autystyczne;Beata Zawiślak;978-83-7587-981-0;Oficyna Wydawnicza IMPULS;2012;Nauki społeczne;Pedagogika;Czytaj
908;Dziecko autystyczne z zespołem Aspergera;Aleksandra Maciarz, Dorota Drała;978-83-7587-758-8;Oficyna Wydawnicza IMPULS;2008;Nauki społeczne;Pedagogika;Czytaj
2665;Dziecko też człowiek! Inny poradnik dla rodziców;Anna Golus;978-83-62480-04-3;Wydawnictwo e-bookowo;2010;Poradniki;-;Czytaj
63799;Dziecko z autyzmem;Hanna Olechnowicz, Robert Wiktorowicz;978-83-01-16957-2;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Pedagogika;Czytaj
1651;Dziecko z zespołem nadpobudliwości psychoruchowej ADHD i ADD;Barbara Irena Igniaciuk;978-83-7587-268-2;Oficyna Wydawnicza IMPULS;2010;Nauki społeczne;Pedagogika;Czytaj
62449;Dziedzictwo kulturowe a rozwój lokalny;Monika Murzyn-Kupisz;978-83-7252-609-0;Wydawnictwo Uniwersytetu Ekonomicznego w Krakowie;2012;Nauki społeczne;Socjologia;Czytaj
760;Dzieje kultury arabskiej;Marek M. Dziekan;978-83-01-15450-9;Wydawnictwo Naukowe PWN;2008;Nauki humanistyczne;Kulturoznawstwo;Czytaj
520;Dzieje kultury chińskiej;Mieczysław Jerzy Künstler;978-83-01-15565-0;Wydawnictwo Naukowe PWN;2007;Nauki humanistyczne;Kulturoznawstwo;Czytaj
259;Dzieje kultury francuskiej;Jacek Kowalski, Anna Loba, Mirosław Loba, Jan Prokop;978-83-01-14499-9;Wydawnictwo Naukowe PWN;2007;Nauki humanistyczne;Kulturoznawstwo;Czytaj
1581;Dzieje kultury latynoamerykańskiej;Redakcja: Marcin Florian Gawrycki;978-83-01-15983-2;Wydawnictwo Naukowe PWN;2009;Nauki humanistyczne;Kulturoznawstwo;Czytaj
61509;Dzieje Polski średniowiecznej;Janusz Dąbrowski, Roman Grodecki, Stanisław Zachorowski;978-83-242-1488-4;Universitas;2011;Nauki humanistyczne;Historia;Czytaj
26600;Dzieje sześciu pojęć;Władysław Tatarkiewicz;978-83-01-16670-0;Wydawnictwo Naukowe PWN;2011;Nauki społeczne;Filozofia;Czytaj
5181;Dzieje Wielkiej Brytanii w XX wieku;A. Sybilla Bidwell;978-83-89281-43-2;Academica Wydawnictwo SWPS;2008;Nauki humanistyczne;Historia;Czytaj
61474;Dzieje współczesnego świata od 1939 roku;Wiesław Olszewski;978-83-232-2088-6;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2009;Nauki humanistyczne;Historia;Czytaj
127;Dzieje życia na Ziemi;Jerzy Dzik;83-01-14038-0;Wydawnictwo Naukowe PWN;2003;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
5686;Dziennikarstwo i świat mediów;Zbigniew Bauer, Edward Chudziński;978-83-242-1021-3;Universitas;2010;Nauki humanistyczne;Filologia polska;Czytaj
5685;Dziennikarstwo wobec nowych mediów;Zbigniew Bauer;978-83-242-1001-5;Universitas;2009;Nauki humanistyczne;Filologia polska;Czytaj
41451;Dzienniki Sherlocka Holmes´a;Arthur Conan Doyle;978-83-7544-533-6;Rea;2009;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
26610;Dziewczynka w zielonym sweterku;Krystyna Chiger, Daniel Paisner;978-83-01-16798-1;Dom Wydawniczy PWN Sp. z o.o.;2011;Literatura piękna;Inne;Czytaj
1331;Edukacja akademicka szansą na aktywizację zawodową osób z ograniczeniem sprawności;Anna Resler-Maj, Konrad Maj, Redakcja: Agnieszka Morysińska;978-83-89281-58-6;Academica Wydawnictwo SWPS;2008;Publikacje darmowe;-;Czytaj
277;Edukacja regionalna. Wybór tekstów;Redakcja: Waldemar Kostewicz, Aleksandra Hulewska, Justyna Słomska;978-83-01-14857-7;Wydawnictwo Naukowe PWN;2006;Nauki społeczne;Pedagogika;Czytaj
6021;Edukacja zdrowotna;Katarzyna Borzucka-Sitkiewicz, Ewa Syrek;978-83-60807-59-0;Łośgraf;2009;Medycyna;Inne;Czytaj
41770;Edukacja Zdrowotna;Redakcja: Barbara Woynarowska;978-83-7173-280-5;Wydawnictwo Pedagogiczne ZNP;2012;Nauki społeczne;Pedagogika;Czytaj
37654;Edvard Grieg. Życie - Fascynacje - Dramaty;Bernard Piotrowski;978-83-232-2105-0;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki humanistyczne;Filologie obce;Czytaj
38441;Edytorstwo. Jak wydawać współczesne teksty literackie;Łukasz Garbal;978-83-01-16547-5;Wydawnictwo Naukowe PWN;2011;Nauki humanistyczne;Filologia polska;Czytaj
61945;Efekt Lucyfera Dlaczego dobrzy ludzie czynią zło?;Philip G. Zimbardo;978-83-01-15626-8;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Psychologia;Czytaj
2265;Efekty reklamy w systemie komunikacji marketingowej;Jarosław Woźniczka;978-83-7011-952-2;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2009;Nauki ekonomiczne;Marketing, reklama;Czytaj
1622;Efektywne i atrakcyjne metody pracy z dziećmi;Mariola Jąder;978-83-7850-344-6;Oficyna Wydawnicza IMPULS;2009;Nauki społeczne;Pedagogika;Czytaj
62045;Efektywność transportu w warunkach gospodarki globalnej;Redakcja: Maria Michałowska;978-83-7246-756-0;Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach;2012;Nauki ekonomiczne;Logistyka;Czytaj
36783;Efektywność zarządzania zasobami ludzkimi;Redakcja: Bogusława Urbaniak;978-83-7525-546-1;Wydawnictwo Uniwersytetu Łódzkiego;2011;Nauki ekonomiczne;Zarządzanie zasobami ludzkimi (HR);Czytaj
6020;e-government. Systemy informacji publicznej;Mariusz Luterek;978-83-7644-034-7;Łośgraf;2010;Nauki społeczne;Nauki polityczne;Czytaj
64065;Ekologia ewolucyjna;Adam Łomnicki;978-83-01-17317-3;Wydawnictwo Naukowe PWN;2013;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
1543;Ekologia. Krótkie wykłady;Aulay Mackenzie, Andy S. Ball, Sonia R. Virdee;978-83-01-14464-7;Wydawnictwo Naukowe PWN;2009;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
43111;Ekonomia;Redakcja: Grażyna Węgrzyn, Jerzy Sokołowski, Magdalena Rękas;978-83-7695-205-5;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2012;Nauki ekonomiczne;Gospodarka światowa;Czytaj
1800;Ekonomia międzynarodowa, t. 1;Maurice Obstfeld, Paul R. Krugman;978-83-01-14814-0;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Gospodarka światowa;Czytaj
1802;Ekonomia międzynarodowa. T. 2;Maurice Obstfeld, Paul R. Krugman;978-83-01-14902-4;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Gospodarka światowa;Czytaj
63818;Ekonomia sektora publicznego;Joseph E. Stiglitz;978-83-01-15187-4;Wydawnictwo Naukowe PWN;2013;Nauki ekonomiczne;Teoria ekonomii;Czytaj
42571;Ekonomika kultury;Dorota Ilczuk;978-83-01-17047-9;Wydawnictwo Naukowe PWN;2012;Nauki ekonomiczne;Marketing, reklama;Czytaj
613;Ekonomika turystyki;Redakcja: Andrzej Panasiuk;978-83-01-14722-8;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Inne;Czytaj
34020;Ekonomika turystyki i rekreacji;Redakcja: Aleksander Panasiuk;978-83-01-16680-9;Wydawnictwo Naukowe PWN;2011;Nauki matematyczno-przyrodnicze;Nauki o Ziemi;Czytaj
823;Ekoturystyka;Dominika Zaręba;978-83-01-14840-9;Wydawnictwo Naukowe PWN;2008;Nauki matematyczno-przyrodnicze;Nauki o Ziemi;Czytaj
2190;E-książka- book. Szerokopasmowa kultura;Łukasz Gołębiewski;978-83-62948-74-1;Biblioteka Analiz;2009;Nauki humanistyczne;Filologia polska;Czytaj
62598;Ekspert Budowlany 1/2013;Redakcja: Praca zbiorowa;;Dom Wydawniczy MEDIUM;2013;Publikacje darmowe;-;Czytaj
64703;Ekspert Budowlany 2/2013;Redakcja: Praca zbiorowa;;Dom Wydawniczy MEDIUM;2013;Publikacje darmowe;-;Czytaj
66693;Ekspert Budowlany 3/2013;Redakcja: Praca zbiorowa;;Dom Wydawniczy MEDIUM;2013;Publikacje darmowe;-;Czytaj
62866;Ekspert Budowlany 4/2012;Redakcja: Praca zbiorowa;;Dom Wydawniczy MEDIUM;2012;Publikacje darmowe;-;Czytaj
62891;Ekspert Budowlany 5/2012;Redakcja: Praca zbiorowa;;Dom Wydawniczy MEDIUM;2012;Publikacje darmowe;-;Czytaj
62908;Ekspert Budowlany 6/2012;Redakcja: Praca zbiorowa;;Dom Wydawniczy MEDIUM;2012;Publikacje darmowe;-;Czytaj
2108;Elektroniczny obrót prawny;Jacek Janowski;978-83-7526-996-3;Wolters Kluwer Polska;2008;Prawo;Prawo administracyjne;Czytaj
1895;Elementarne zagadnienia ekonomii;Redakcja: Roman Milewski;978-83-01-14991-8;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Teoria ekonomii;Czytaj
43631;Elementy fizjoterapii. Fizykoterapia dla praktyków;Emilia Mikołajewska;978-83-200-4302-0;Wydawnictwo Lekarskie PZWL;2011;Medycyna;Rehabilitacja;Czytaj
18836;Elementy zarysu dziejów metodologii badań literackich;Jerzy Kaczorowski;978-83-7072-689-8;Wydawnictwo Uniwersytetu Kardynała Stefana Wyszyńskiego;2011;Nauki humanistyczne;Filologia polska;Czytaj
38076;Elita zabójców;Ranulph Fiennes;978-83-89656-84-1;MAGNUM;2011;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
1458;Elity rządowe III RP 1997-2004;Redakcja: Jacek Raciborski;83-7436-057-7;Wydawnictwo Naukowe Scholar;2006;Nauki społeczne;Socjologia;Czytaj
1455;Emigranci, wygnańcy, wychodźcy...;Redakcja: Iwona Węgrzyn, Grzegorz Zając;978-83-233-2335-8;Wydawnictwo Uniwersytetu Jagiellońskiego;2007;Nauki humanistyczne;Filologia polska;Czytaj
45458;Encyklopedyczne podstawy marketingu;Tadeusz Wojciechowski;978-83-7488-041-1;Placet;2009;Nauki ekonomiczne;Marketing, reklama;Czytaj
41010;English in Medicine. Podręcznik dla studentów akademii medycznych;Joanna Ciecierska, Barbara Jenike, Krystyna Tudruj;978-83-200-3969-6;Wydawnictwo Lekarskie PZWL;2009;Nauki humanistyczne;Filologie obce;Czytaj
64136;Erato: podziemna rozkosz;Rakso Hardik, Ewa Bordeline;978-83-7859-164-1;Wydawnictwo e-bookowo;2013;Literatura kobieca;-;Czytaj
1256;Erystyka czyli o sztuce prowadzenia sporów;Agnieszka Budzyńska-Daca, Jacek Kwosek;978-83-01-15839-2;Wydawnictwo Naukowe PWN;2009;Nauki humanistyczne;Filologia polska;Czytaj
36816;Estetyka odrzucenia w dramacie i teatrze współczesnym;Piotr Dobrowolski;978-83-232-2232-3;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2011;Nauki humanistyczne;Kultura i sztuka;Czytaj
38442;Ethos rycerski i jego odmiany;Maria Ossowska;978-83-01-13277-4;Wydawnictwo Naukowe PWN;2011;Nauki społeczne;Socjologia;Czytaj
42588;E-turystyka;Adam Pawlicz;978-83-01-17063-9;Wydawnictwo Naukowe PWN;2012;Nauki ekonomiczne;E-biznes;Czytaj
666;Etyka;Spinoza de Baruch;978-83-01-15392-2;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Filozofia;Czytaj
2204;Etyka adwokacka;Zdzisław Krzemiński;978-83-7601-214-8;Wolters Kluwer Polska;2008;Prawo;Historia i nauka prawa;Czytaj
1265;Etyka i polityka;Alasdair Maclntyre, Redakcja: Adam Chmielewski;978-83-01-15785-2;Wydawnictwo Naukowe PWN;2009;Nauki społeczne;Filozofia;Czytaj
40790;Etyka lekarska;Tadeusz Brzeziński;978-83-200-3967-2;Wydawnictwo Lekarskie PZWL;2011;Medycyna;Inne;Czytaj
657;Etyka menedżera - społeczna odpowiedzialność przedsiębiorstwa;Mirosława Rybak;978-83-01-14314-5;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
72;Euro. Nowy pieniądz;Leokadia Oręziak;83-01-13942-0;Wydawnictwo Naukowe PWN;2004;Nauki ekonomiczne;Finanse i bankowość;Czytaj
6049;Europa multimedialna. Od Acta Diurna do Europa.eu;Radosław Sajna;978-83-932455-4-3;Stowarzyszenie Wyższej Użyteczności Publicznej Instytut Naukowo-Badawczy MOVEABLE;2011;Publikacje darmowe;-;Czytaj
42506;Europeistyka. Podręcznik akademicki t. 2;Redakcja: Wojciech Jakubowski, Konstanty Adam Wojtaszczyk;978-83-01-16929-9;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Nauki polityczne;Czytaj
42635;Europeistyka. Podręcznik akademicki t.1;Redakcja: Wojciech Jakubowski, Konstanty Adam Wojtaszczyk;978-83-01-16928-2;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Nauki polityczne;Czytaj
45436;Europeizacja małych i średnich przedsiębiorstw;Krzysztof Wach;978-83-01-17271-8;Wydawnictwo Naukowe PWN;2012;Nauki ekonomiczne;Unia Europejska;Czytaj
19956;Europejska polityka spójności oraz jej efekty w Polsce;Joanna Kudełko, Andrzej Prusek, Kazimierz Zieliński;978-83-7252-521-5;Wydawnictwo Uniwersytetu Ekonomicznego w Krakowie;2011;Nauki ekonomiczne;Unia Europejska;Czytaj
2225;Ewaluacja w nadzorze pedagogicznym, t. 1. Konteksty;Grzegorz Mazurkiewicz;978-83-233-2929-9;Wydawnictwo Uniwersytetu Jagiellońskiego;2010;Publikacje darmowe;-;Czytaj
2226;Ewaluacja w nadzorze pedagogicznym, t. 2. Odpowiedzialność;Redakcja: Grzegorz Mazurkiewicz;978-83-233-2948-0;Wydawnictwo Uniwersytetu Jagiellońskiego;2010;Publikacje darmowe;-;Czytaj
5588;Ewaluacja w nadzorze pedagogicznym, t. 3 Autonomia;Grzegorz Mazurkiewicz;978-83-233-3017-2;Wydawnictwo Uniwersytetu Jagiellońskiego;2010;Publikacje darmowe;-;Czytaj
42350;Ewangelia według Heroda;Marcin Wolski;978-83-7595-567-5;M;2012;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
45426;Ewolucja polityki walutowej w Polsce po roku 1989 w perspektywie przystąpienia do strefy euro;Wawrzyniec Michalczyk;978-83-7695-276-5;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2012;Nauki ekonomiczne;Unia Europejska;Czytaj
61417;Fantasy Ewolucja gatunku;Grzegorz Trębicki;978-83-242-1103-6;Universitas;2009;Nauki humanistyczne;Filologie obce;Czytaj
43927;Farmakologia;Ryszard Korbut;978-83-200-4082-1;Wydawnictwo Lekarskie PZWL;2012;Medycyna;Farmakologia;Czytaj
13204;Film i sztuki tradycyjne;Janusz Plisiecki;978-83-227-3252-6;Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej;2010;Nauki humanistyczne;Kultura i sztuka;Czytaj
61422;Film japoński a kultura europejska;Aneta Pierzchała;978-83-242-1046-6;Universitas;2005;Nauki humanistyczne;Kultura i sztuka;Czytaj
36194;Filmowe obrazy szkoły;Ewelina Konieczna;978-83-7587-692-5;Oficyna Wydawnicza IMPULS;2011;Nauki humanistyczne;Kultura i sztuka;Czytaj
36903;Filmowe skandale i skandaliści;Jan Kochańczyk;978-83-63080-39-6;Wydawnictwo e-bookowo;2011;Nauki humanistyczne;Kultura i sztuka;Czytaj
88;Filozofia polityki;Redakcja: Andrzej Szahaj, Marek N. Jakubowski;978-83-01-14581-1;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Filozofia;Czytaj
38645;Filozofia pozytywistyczna;Leszek Kołakowski;978-83-01-16081-4;Wydawnictwo Naukowe PWN;2009;Nauki społeczne;Filozofia;Czytaj
7866;Filozofia przyrody współcześnie;Mariola Kuszyk-Bytniewska, Andrzej Łukasik;978-83-242-1437-2;Universitas;2010;Nauki społeczne;Filozofia;Czytaj
43420;Finanse;Redakcja: Marian Podstawka;978-83-01-16298-6;Wydawnictwo Naukowe PWN;2010;Nauki ekonomiczne;Finanse i bankowość;Czytaj
26697;Finanse - nowe wyzwania teorii i praktyki. Bankowość;Redakcja: Andrzej Gospodarowicz;978-83-7695-156-0;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2011;Nauki ekonomiczne;Finanse i bankowość;Czytaj
26699;Finanse - nowe wyzwania teorii i praktyki. Finanse publiczne;Redakcja: Leszek Patrzałek;978-83-7695-164-5;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2011;Nauki ekonomiczne;Finanse i bankowość;Czytaj
26701;Finanse - nowe wyzwania teorii i praktyki. Ubezpieczenia;Redakcja: Wanda Ronka-Chmielowiec;978-83-7695-172-0;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2011;Nauki ekonomiczne;Finanse i bankowość;Czytaj
45444;Finanse i rachunkowość - teoria i praktyka;Redakcja: Jacek Adamek;978-83-7695-134-8;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2011;Nauki ekonomiczne;Rachunkowość i controlling;Czytaj
38130;Finanse jednostek samorządu terytorialnego;Maria Jastrzębska;978-83-264-3630-7;Wolters Kluwer Polska;2012;Prawo;Prawo administracyjne;Czytaj
361;Finanse międzynarodowe;Redakcja: Bogumił Bernaś;978-83-01-14787-7;Wydawnictwo Naukowe PWN;2006;Nauki ekonomiczne;Finanse i bankowość;Czytaj
33;Finanse publiczne;Stanisław Owsiak;978-83-01-15732-6;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Finanse i bankowość;Czytaj
479;Finanse publiczne;Jerzy Osiatyński;978-83-01-14593-4;Wydawnictwo Naukowe PWN;2006;Nauki ekonomiczne;Finanse i bankowość;Czytaj
43108;Finanse publiczne;Redakcja: Michał Sosnowski, Arkadiusz Żabiński, Jerzy Sokołowski;978-83-7695-213-0;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2012;Nauki ekonomiczne;Gospodarka światowa;Czytaj
6664;Finanse publiczne i międzynarodowe;Redakcja: Bogumił Bernaś;978-83-7695-017-4;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2010;Nauki ekonomiczne;Finanse i bankowość;Czytaj
355;Finanse samorządowe;Marek Dylewski, Beata Filipiak, Małgorzata Gorzałczyńska-Koczkodaj;978-83-01-15364-9;Wydawnictwo Naukowe PWN;2007;Nauki ekonomiczne;Finanse i bankowość;Czytaj
390;Finansowanie inwestycji w teorii i praktyce;Aneta Michalak;978-83-01-15126-3;Wydawnictwo Naukowe PWN;2007;Nauki ekonomiczne;Finanse i bankowość;Czytaj
11646;Fizjologia;Wiliam Ganong;978-83-200-3326-7;Wydawnictwo Lekarskie PZWL;2007;Medycyna;Inne;Czytaj
967;Fizjologia człowieka. Krótkie wykłady;Daniel McLaughlin, Jonathan Stamford, David White;978-83-01-15578-0;Wydawnictwo Naukowe PWN;2008;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
198;Fizjologia roślin;Redakcja: Stanisław Lewak, Jan Kopcewicz;978-83-01-14549-1;Wydawnictwo Naukowe PWN;2007;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
61940;Fizjologia roślin;Jan Kopcewicz, Stanisław Lewak;978-83-01-17205-3;Wydawnictwo Naukowe PWN;2012;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
42561;Fizjologia starzenia się;Redakcja: Anna Marchewka, Zbigniew Dąbrowski, Jerzy A. Żołądź;978-83-01-17029-5;Wydawnictwo Naukowe PWN;2012;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
43934;Fizjologia wysiłku i treningu fizycznego;Redakcja: Jan Górski;978-83-200-4146-0;Wydawnictwo Lekarskie PZWL;2012;Medycyna;Inne;Czytaj
41560;Fizjoterapia kliniczna;Redakcja: Wojciech Kasprzak;978-83-200-4007-4;Wydawnictwo Lekarskie PZWL;2010;Medycyna;Poradniki medyczne;Czytaj
45184;Fizjoterapia ogólna;Jerzy E. Kiwerski;978-83-200-4473-7;Wydawnictwo Lekarskie PZWL;2012;Medycyna;Rehabilitacja;Czytaj
41580;Fizjoterapia w geriatrii;Redakcja: Katarzyna Wieczorowska-Tobis;978-83-200-4076-0;Wydawnictwo Lekarskie PZWL;2010;Medycyna;Geriatria;Czytaj
45193;Fizjoterapia w neurologii i neurochirurgii;Andrzej Kwolek;978-83-200-4388-4;Wydawnictwo Lekarskie PZWL;2012;Medycyna;Rehabilitacja;Czytaj
43654;Fizjoterapia w wybranych dziedzinach medycyny;Redakcja: Jurek Olszewski;978-83-200-4147-7;Wydawnictwo Lekarskie PZWL;2011;Medycyna;Rehabilitacja;Czytaj
64397;Fizyka dla inżynierów t.1;Jerzy Massalski, Michalina Massalska;978-83-7926-015-7;Wydawnictwo WNT;2013;Nauki matematyczno-przyrodnicze;Fizyka;Czytaj
64496;Fizyka dla inżynierów t.2;Jerzy Massalski;978-83-7926-016-4;Wydawnictwo WNT;2013;Nauki matematyczno-przyrodnicze;Fizyka;Czytaj
1583;Fonetyka i fonologia współczesnego języka polskiego;Danuta Ostaszewska, Jolanta Tambor;978-83-01-14896-6;Wydawnictwo Naukowe PWN;2009;Nauki humanistyczne;Filologia polska;Czytaj
5604;Fonetyka i fonologia współczesnego języka polskiego. Ćwiczenia;Jolanta Tambor;978-83-01-15042-6;Wydawnictwo Naukowe PWN;2010;Nauki humanistyczne;Filologia polska;Czytaj
5177;Formy wyobraźni. Poeci współcześni przed obrazami wielkich mistrzów;Anna Pilch;978-83-233-2984-8;Wydawnictwo Uniwersytetu Jagiellońskiego;2010;Nauki humanistyczne;Filologia polska;Czytaj
1310;Fotograficzne gatunki dziennikarskie;Kazimierz Wolny-Zmorzyński;978-83-60501-71-9;Łośgraf;2007;Nauki społeczne;Komunikacja społeczna;Czytaj
61308;Freuda teoria snów. Komedia w 3 aktach;Antoni Cwojdziński;978-83-242-1174-6;Universitas;2004;Nauki humanistyczne;Kultura i sztuka;Czytaj
40364;Frustraci. Bohaterowie filmowi i literaccy wobec polskiej rzeczywistości po 1989 roku;Katarzyna Taras;978-83-7072-757-4;Wydawnictwo Uniwersytetu Kardynała Stefana Wyszyńskiego;2012;Nauki humanistyczne;Kultura i sztuka;Czytaj
5640;Funkcjonowanie małych i średnich firm produkcyjnych w łańcuchu dostaw;Danuta Kisperska-Moroń, Edyta Klosa, Artur Świerczek, Ryszard Piniecki;978-83-7246-438-5;Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach;2010;Nauki ekonomiczne;Logistyka;Czytaj
61469;Fuzje i przejęcia na rynku kapitałowym. Motywy, okoliczności i warunki oraz procedury, procesy i struktury;Halina Zadora;978-83-7246-670-9;Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach;2011;Nauki ekonomiczne;Finanse i bankowość;Czytaj
2085;Fuzje, przejęcia...;Redakcja: Agnieszka Herdan;978-83-233-2476-8;Wydawnictwo Uniwersytetu Jagiellońskiego;2008;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
40473;Gabi i Uwe;Uwe von Seltmann;978-83-01-17089-9;Dom Wydawniczy PWN Sp. z o.o.;2012;Literatura faktu;-;Czytaj
6022;Gatunki dziennikarskie. Teoria praktyka język;Andrzej Kaliszewski, Kazimierz Wolny-Zmorzyński, Wojciech Furman;978-83-7644-015-6;Łośgraf;2009;Nauki humanistyczne;Filologia polska;Czytaj
42440;Gatunki filmowe;Rick Altman;978-83-01-17066-0;Wydawnictwo Naukowe PWN;2012;Nauki humanistyczne;Kultura i sztuka;Czytaj
40474;Gen ryzyka w sobie miał... O Jerzym Turowiczu opowiadają: ks. Adam Boniecki, Józefa Hennelowa, Krzysztof Kozłowski, Adam Michnik, Janina Ochojska-Okońska, Anna Szałapak, Andrzej Szczeklik, Stefan Wilkanowicz;Joanna Podsadecka;978-83-01-16884-1;Wydawnictwo Naukowe PWN;2012;Literatura faktu;-;Czytaj
41682;Gender w literaturze dla dzieci i młodzieży. Wzorce płciowe i kobiecy repertuar topiczny;Grażyna Lasoń-Kochańska;978-83-7467-174-3;Wydawnictwo Naukowe Akademii Pomorskiej w Słupsku;2012;Nauki humanistyczne;Filologia polska;Czytaj
